star_ID  ;prio;sys            ;R.A.[deg];R.A.[min] ;R.A.[sec]  ;DEC [deg];DEC [amin];DEC [arcs]  ;dist [pc]         ;magV     ;magJ ;magH ;magK ;spT   ;Teff ;Teff_e;met  ;mass ;mass_e;lum    ;lum_e;R*   ;R*_e;vsini ;vsini_e;logg;logg_e;age  ;age_e;Protmax;Protmax_e;Prot;Prot_e;i*;i*_e;i_dd  ;i_dd_e;Prot_d;Prot_d_e;dd_t1;dd_l1;dd_r1;dd_l2;RV_Prec(390-870) 10m;RV_Prec(390-870) 30m;HZ Rin;HZ Rout;P(HZ);mdl(hz) 30min;Notes RL;Notes MH
HD23484;0;Single system  ;3;44;9.173;-38;16;54.372;16.170;6.996;5.462;5.088;4.934;K2 V;5201;70;0.1;0.89;0.03;0.41;0.002;0.788;0.004;1.5;1.5;4.74;0.38;3500;2500;26.6;26.6;9.2;-999;20.3;-999;60.6;12.8;23.18;23.91;53;9.4e-05;18;-999;0.28;0.16;0.61;0.88;248.95;1.45;-999;
HD23754;2;Unknown system ;3;46;50.887;-23;14;59.002;17.785;4.2;3.61;3.393;3.353;F5 V;6600;20;0.08;1.4;0.07;5.12;0.04;1.73;0.01;-999;-999;3.93;0.06;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;1.76;1.02;2.15;3.1;1312.8;21.82;mdl(hz) > 10mE;
BD-07699;0;Unknown system ;3;54;35.466;6;49;33.654;15.671;9.015;6.453;5.806;5.629;K5 V;4134;70;-999;0.65;0.02;0.1178;0.0005;0.669;0.003;-999;-999;4.45;0.04;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;27;3.4e-05;40;-999;0.57;0.33;0.33;0.47;114.61;1.88;-999;
HD25004;0;Unknown system ;3;56;36.380;-41;20;36.850;17.564;8.847;6.599;5.975;5.837;K6 V;4374;70;-999;0.69;0.02;0.1373;0.0008;0.645;0.004;-999;-999;4.4;0.08;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.57;0.33;0.35;0.51;123.98;2.01;;8 obs over 14 years. No trends, RMS 4.3m/s
HD24916;2;Single system  ;3;57;28.699;-1;9;34.070;15.284;8.07;6.063;5.486;5.341;K4 V;4560;70;-999;0.73;0.02;0.184;0.002;0.689;0.006;1.4;1.18;3.77;0.33;-999;-999;24.92;21.01;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.38;0.22;0.41;0.59;151.14;1.48;Eruptive Variable! Check activity;No data on exoplanet archive. No signal, but very high RMS 73.34 m/s
HD25457;3;Single system  ;4;2;36.744;0;16;8.120;18.707;5.38;4.712;4.342;4.181;F7 V;6310;70;0.03;1.23;0.01;2.04;0.01;1.2;0.01;18.5;1.1;-999;-999;149;45;3.28;0.2;-999;-999;-999;-999;-999;-999;-999;-999;58;9.4e-05;33;4.4e-05;1.68;0.97;1.36;1.97;707.53;15.49;PMS star 150Myr;
HD26965;2;Unknown system ;4;15;16.320;-7;39;0.330;5.010;4.43;3.013;2.594;2.498;K1 V;5240;70;-0.27;0.87;0.03;-999;-999;-999;-999;0.37;0.61;3.91;0.12;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.09;0.05;-999;-999;-999;-999;Eruptive Variable! Check activity;"Triple star system (40Eri) and one known planet, b at 42d, 8Me (Ma et al 2018, Dharma Planet Survey). 616 obs on 101 nights. Very strong signal at ~40d in RV! Matches the planet. Also activity signals all over the place in unbinned, vanish in binned (the 40d doesn't, though). RMS is low, 1.81 m/s. Activity may be a problem. From Ma et al: ""HD 26965 is the primary of a very widely separated triple system. The  other two companions are an M4 dwarf and a white dwarf. The on-sky separation between the primary and the other two stars is about 82 arcsec. The estimated orbital period of this system is ∼8000 yr (Heintz 1974). This star has a star-spot activity cycle period of 10.1 yr (Baliunas et al. 1995)."""
HD27274;0;Unknown system ;4;15;56.902;-53;18;35.307;13.044;7.64;5.624;5.098;4.923;K4.5 V;4593;70;0.16;0.73;0.02;0.195;0.002;0.698;0.004;-999;-999;4.48;0.02;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.32;0.19;0.42;0.61;157.99;1.3;-999;
HD28343;2;Unknown system ;4;29;0.124;21;55;21.717;11.229;8.3;5.674;5.05;4.875;M0.5 V;3903;70;0.0;0.62;0.03;0.1112;0.0009;0.729;0.005;-999;-999;2.89;0.06;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.35;0.20;0.32;0.46;112.97;1.1;Eruptive Variable! Check activity;
HD30495;3;Single system  ;4;47;36.292;-16;56;4.040;13.240;5.49;4.466;4.116;3.999;G2.5 V;5897;110;0.03;1.06;0.01;0.964;0.005;0.955;0.006;3.21;1.79;-999;-999;45;5;15.07;8.4;10.5;-999;73.0;-999;38.8;14.6;9.44;6.49;59;3.2e-05;21;0;0.19;0.11;0.95;1.37;443.21;1.36;PMS star <100Myr;Forest of peaks in 10-100d range in all periodograms (G pdf), less when night-binned but still some (GK pdf)
HD30652;3;Multiple system;4;49;50.411;6;57;40.601;8.024;3.19;1.984;1.757;1.6;F6 V;6420;70;0.02;1.28;0.05;2.81;0.02;1.354;0.006;-999;-999;-999;-999;45;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.80;0.46;3.31;4.77;2614.7;11.67;PMS star <100Myr;
HD30876;0;Unknown system ;4;49;52.332;-35;6;27.469;17.687;7.495;5.896;5.443;5.334;K2 V;4980;70;-0.06;0.81;0.02;0.322;0.002;0.762;0.006;1.7;1.3;4.46;0.04;-999;-999;22.7;17.36;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.31;0.18;0.54;0.78;217.6;1.47;-999;Two observing seasons, 2016 and 2017, scatter looks much higher (20m/s peak to peak) in the second
HD31560;0;Unknown system ;4;55;41.911;-28;33;50.083;18.208;8.122;6.19;5.686;5.545;K3.5 V;4690;70;0.06;0.75;0.02;0.229;0.002;0.725;0.006;1.21;1.1;3.94;0.11;-999;-999;30.34;27.58;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.41;0.23;0.46;0.66;176.74;1.66;-999;
HD32147;0;Unknown system ;5;0;48.999;-5;45;13.224;8.844;6.22;4.389;3.797;3.706;K3 V;4600;180;0.28;0.77;0.03;0.295;0.002;0.793;0.005;7.38;0.41;4.46;0.04;-999;-999;5.44;0.3;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.17;0.10;0.48;0.69;186.24;0.75;-999;Unbinned shows lots of peaks in the 20-100 day range, nightly-binned no peaks in RV. Strong peaks in all act ind at 300-400d, and also at 20-100d in unbinned
HD33262;0;Multiple system;5;5;30.656;-57;28;21.737;11.693;4.71;3.701;3.407;3.371;F9 V;6260;70;-0.08;1.14;0.06;1.463;0.01;1.029;0.009;-999;-999;4.34;0.1;2951;1800;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;150;2.1e-05;4;-999;1.06;0.61;1.15;1.66;569.69;8.61;;
HD34673;0;Multiple system;5;19;12.661;-3;4;25.739;15.713;7.86;5.733;5.225;5.046;K3 V;4550;70;-0.36;0.75;0.02;0.253;0.009;0.81;0.02;-999;-999;2.59;0.53;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.36;0.21;0.48;0.69;188.7;1.55;-999;
HD35171;0;Multiple system;5;23;38.379;17;19;26.821;14.542;7.93;5.876;5.375;5.227;K4 V;4471;70;-0.01;0.72;0.02;0.183;0.001;0.713;0.004;-999;-999;4.47;0.03;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.37;0.21;0.41;0.59;152.18;1.41;-999;
HD35296;2;Multiple system;5;24;25.463;17;23;0.726;14.579;5.0;4.431;4.029;4.038;F8 V;6200;70;-0.02;1.18;0.05;1.78;0.01;1.16;0.01;-999;-999;4.24;0.08;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.97;0.56;1.27;1.83;648.84;8.45;BY Dra variable;
HD35650;3;Unknown system ;5;24;30.170;-38;58;10.747;17.4609660105;9.08;6.702;6.105;5.921;K2;4224;70;0;0.67;0.02;0.1259;0.0007;0.662;0.004;4.0;2.0;-999;-999;50;-999;8.38;4.19;9.8;-999;90;-999;89;4;8.38;4.23;46;0.00011;13;-999;0.60;0.35;0.34;0.49;119.29;2.06;PMS star <100Myr;No signals, but high RMS
HD35854;0;Unknown system ;5;26;14.738;-32;30;17.138;17.862;7.711;6.014;5.492;5.386;K2.5 V;4848;90;-0.08;0.79;0.02;0.284;0.002;0.755;0.005;1.87;1.37;4.47;0.03;-999;-999;20.45;14.98;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.34;0.20;0.51;0.73;200.61;1.56;-999;No signal in RVs, low RMS 1.23 m/s. Some signal around 40d in act ind
HD36435;0;Unknown system ;5;27;39.352;-60;24;57.586;19.479;6.983;5.704;5.342;5.2;G5 V;5590;70;-0.04;0.94;0.05;0.539;0.004;0.783;0.005;3.7;1.9;4.45;0.04;-999;-999;10.72;5.5;-999;-999;64;-999;-999;-999;-999;-999;700;0.0004;0.1;-999;0.33;0.19;0.70;1.01;297.83;1.9;-999;
HD36003;0;Unknown system ;5;28;26.096;-3;29;8.398;12.928;7.65;5.615;5.111;4.88;K5 V;4438;70;-0.09;0.72;0.02;0.198;0.002;0.754;0.005;5.0;2.24;4.45;0.04;-999;-999;7.64;3.42;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.33;0.19;0.42;0.61;159.08;1.29;-999;Peaks in RV, act ind at ~400d, 1000d
HD36705;3;Multiple system;5;28;44.871;-65;26;55.199;14.852;6.88;5.316;4.845;4.686;K1 III;5430;70;-0.36;0.84;0.04;0.495;0.005;0.795;0.004;40.555;2.253;-999;-999;87.5;12.5;0.99;0.06;-999;-999;-999;-999;-999;-999;-999;-999;940;0.0029;62;-999;0.31;0.18;0.67;0.96;293.21;1.66;"PMS star <100Myr, clos vis. comp. at 0.2""";
HD274255;2;Unknown system ;5;30;14.004;-42;41;50.380;19.158;9.706;7.149;6.47;6.269;M0 V;4100;70;-999;0.63;0.02;0.0964;0.0007;0.616;0.008;2.0;1.5;4.4;0.08;-999;-999;15.6;11.7;-999;-999;53;-999;-999;-999;-999;-999;49;0.00019;10;-999;0.77;0.45;0.30;0.43;101.47;2.41;has 2 transiting sub-neptunes from TESS, TOI-2540;Only 6 obs, over 11 years. RMS = 5.73 m/s, but looks like linear trend. Removing the linear, RMS 1.5. M dwarf according to Simbad!
HD39091;0;Unknown system ;5;37;9.886;-80;28;8.835;18.287;5.65;4.869;4.424;4.241;G0 V;5970;70;0.09;0.96;0.1;1.532;0.009;1.155;0.009;-999;-999;4.05;0.1;6040;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;45.7356;1.56307e-06;214.0572252612;-999;0.21;0.12;1.18;1.69;640.8;1.57;HWO target candidate;
HD38392;2;Multiple system;5;44;26.537;-22;25;18.615;8.892;6.15;4.845;4.158;4.13;K3;5730;70;0.04;0.99;0.02;0.844;0.007;0.932;0.007;-999;-999;4.47;0.03;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.24;0.14;0.87;1.26;403.45;1.6;BY Dra variable;
HD38393;1;Multiple system;5;44;27.791;-22;26;54.188;8.905;3.59;2.804;2.606;2.508;F6 V;6370;70;-0.05;1.23;0.05;2.39;0.02;1.269;0.01;-999;-999;4.16;0.09;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.86;0.50;1.47;2.12;791.99;8.29;;
HD38858;2;Single system  ;5;48;34.940;-4;5;40.722;15.210;5.97;4.83;4.595;4.405;G2 V;5830;70;-0.44;1.0;0.03;0.84;0.005;0.9;0.006;1.38;1.17;4.38;0.1;3200;-999;33.03;28;-999;-999;-999;-999;-999;-999;-999;-999;51.7;7.6e-05;26.1;0;0.23;0.13;0.87;1.26;401.42;1.5;-999;Strong signal at ~350d in RVs and all activity indicators!
HD40307;0;Unknown system ;5;54;4.241;-60;1;24.493;12.932;7.17;5.412;4.968;4.793;K2.5 V;4940;70;-0.3;0.78;0.02;0.254;0.002;0.687;0.002;5.0;2.24;4.0;0.2;7000;4200;6.96;3.12;-999;-999;-999;-999;-999;-999;-999;-999;70;8E-06;9;-999;0.26;0.15;0.48;0.69;185.04;1.13;-999;"This is HD40307, 4/5-planet system! b 4d, 4Me; c 9.62, 6.6Me; d 20d, 9Me; f 51d, 5Me; g (controversial) 197d, 7Me"
HD41593;0;Multiple system;6;6;40.478;15;32;31.579;15.771;6.539;5.317;4.942;4.822;K0 V;5320;70;0.19;0.88;0.02;0.47;0.006;0.808;0.007;2.4;1.55;3.92;0.16;-999;-999;17.05;11.01;-999;-999;44;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.24;0.14;0.65;0.94;275.99;1.31;-999;10 points (2/night). No signals, but high RMS 16.25m/s
HD43834;0;Multiple system;6;10;14.473;-74;45;10.958;10.213;5.08;3.951;3.508;3.446;G7 V;5630;70;0.1;0.97;0.02;0.8342;0.004;0.977;0.006;-999;-999;4.24;0.1;7244;3226;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.14;0.08;0.88;1.27;413.34;0.91;-999;
HD42807;3;Unknown system ;6;13;12.503;10;37;37.712;18.599;6.43;5.253;5.01;4.849;G5 V;5790;70;-0.1;0.99;0.03;0.82;0.006;0.899;0.007;2.2;1.35;-999;-999;-999;-999;20.69;12.7;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.28;0.16;0.86;1.24;394.95;1.82;RS CVn Variable;Linear trend? Or seasonal offset? only three RV points in second half, two scattered RV points in between. The activity indices are also offset, which is suspicious. Looking only at season 1 (plot saved), looks like a very nice half of a Keplerian! Wonder why it wasn't continued properly? -> Could be worth fitting out the RV signal, seeing what it looks like -> Fits to 8d, 0.25Mj - HJ? remaining RMS still a bit high
HD43162;0;Multiple system;6;13;45.295;-23;51;42.972;16.699;6.366;5.129;4.863;4.726;G6.5 V;5460;70;0.01;0.93;0.02;0.708;0.004;0.882;0.005;-999;0.5;4.15;0.08;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.24;0.14;0.75;1.08;331.49;1.44;-999;
HD43042;2;Multiple system;6;14;50.876;19;9;23.212;21.776;5.2;4.008;3.83;4.129;F5.5 V;6530;70;0.05;1.31;0.05;2.94;0.04;1.34;0.01;-999;-999;4.07;0.06;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;2.49;1.44;1.63;2.35;895.82;25.94;mdl(hz) > 10mE;
HD43386;2;Multiple system;6;16;26.619;12;16;19.788;19.588;4.916;4.47;4.2;4.25;F5 V;6570;30;-0.03;1.3;0.05;2.96;0.03;1.33;0.01;-999;-999;4.16;0.05;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;2.34;1.35;1.64;2.36;906.05;24.29;mdl(hz) > 10mE;
HD45088;2;Multiple system;6;26;10.255;18;45;24.761;14.617;6.48498;5.209;4.545;4.271;K2 V;4610;70;-0.43;0.81;0.07;0.49;0.004;1.099;0.008;-999;-999;4.34;0.13;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.22;0.11;0.67;0.96;298.59;1.0;BY Dra variable;No data on exoplanet archive. 8 obs on 4 nights, huge RV variations!
HD49095;2;Multiple system;6;45;22.940;-31;47;37.133;23.933;5.916;4.986;4.806;4.664;F6.5 V;6250;70;-0.16;1.2;0.05;2.05;0.02;1.221;0.01;-999;-999;3.9;0.13;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;1.78;1.03;1.36;1.96;713.1;16.22;"Sep. to WDS comp. 1.3"", but B is a very close binary (0.1""), PMaG3 190!";
HD50281;0;Multiple system;6;52;18.051;-5;10;25.366;8.745;6.58;5.013;4.294;4.107;K3.5 V;4590;70;0.05;0.74;0.02;0.214;0.002;0.732;0.006;-999;-999;4.45;0.04;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.20;0.12;0.44;0.63;166.15;0.84;-999;
HD53143;0;Multiple system;6;59;59.655;-61;20;10.253;18.340;6.81;5.459;5.097;4.987;G9 V;5410;70;0.23;0.99;0.02;0.586;0.004;0.871;0.007;3.6;2.0;4.41;0.08;1000;500;12.25;6.81;9.5;-999;64;-999;63.7;3.1;10.98;6.14;73;0.000275;11;0;0.28;0.16;0.73;1.05;308.21;1.68;-999;25 points on 12 nights, no signals in periodograms but high RMS 19.38m/s
HD52698;0;Unknown system ;7;1;13.731;-25;56;55.492;14.749;6.71;5.152;4.845;4.636;K1 V;5150;70;0.14;0.84;0.02;0.449;0.005;0.841;0.007;-999;-999;3.75;0.48;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.23;0.13;0.64;0.92;274.52;1.17;-999;
HD52919;0;Unknown system ;7;2;42.917;-6;47;57.214;19.114;8.351;6.446;5.867;5.755;K4 V;4650;90;-0.17;0.74;0.02;0.204;0.002;0.696;0.005;2.85;1.7;3.98;0.5;-999;-999;12.37;7.38;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.45;0.26;0.43;0.62;161.51;1.81;-999;Only 7 obs over 3 years, but very low RMS = 0.67 m/s
HD53705;0;Multiple system;7;3;57.315;-43;36;28.926;17.060;5.28;4.405;3.99;4.037;G0 V;5940;70;-0.15;1.07;0.05;1.52;0.03;1.17;0.02;-999;-999;4.34;0.1;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.17;0.10;1.18;1.70;610.14;1.39;HWO target candidate;
HD56533;0;Unknown system ;7;13;7.089;-63;20;41.813;19.587;9.079;6.748;6.15;5.99;K6 V;4265;70;0.0;0.68;0.02;0.1495;0.0007;0.708;0.003;-999;-999;4.48;0.02;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.62;0.36;0.37;0.53;133.7;2.22;;Very flat periodograms, but only 18 observations
HD61606;2;Multiple system;7;39;59.329;-3;35;1.028;14.078;7.18;5.493;5.063;4.885;K3 V;4960;70;-0.05;0.8;0.02;0.284;0.002;0.723;0.005;7.15;0.397;4.69;0.08;-999;-999;5.12;0.29;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.26;0.15;0.51;0.73;199.35;1.18;BY Dra variable;
HD61606B;0;Multiple system;7;40;2.901;-3;36;13.231;14.086;8.93;6.377;5.7;5.568;K7 V;4210;70;-999;0.65;0.04;0.1025;0.0005;0.603;0.005;-999;-999;4.33;0.14;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.57;0.33;0.31;0.44;104.03;1.82;-999;
HD64379A;2;Multiple system;7;52;15.663;-34;42;19.584;18.327;5.12;4.166;-999;3.841;F5 V;6340;70;-0.08;1.24;0.05;2.54;0.05;1.32;0.02;-999;-999;3.74;0.6;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;1.61;0.93;1.52;2.18;825.32;15.72;mdl(hz) > 10mE;
GJ1106;0;Unknown system ;7;57;48.519;-33;57;7.240;19.418;8.824;6.626;6.045;5.909;K4.5 V;4390;70;-999;0.69;0.02;0.164;0.004;0.7;0.01;-999;-999;3.82;1.0;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.56;0.32;0.39;0.56;143.94;2.04;;
HD65277;0;Multiple system;7;57;57.784;0;48;51.877;17.655;8.077;6.194;5.63;5.511;K4 V;4319;70;-0.26;0.71;0.02;0.199;0.001;0.796;0.005;1.81;1.35;2.03;0.03;-999;-999;22.27;16.61;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.39;0.23;0.42;0.61;160.2;1.55;-999;No data on exoplanet archive. Clear linear trend (esp. using ES, which splits the pre and post upgrade datasets - there is an offset). Removing the trend, strong peaks at ~400d, and also in act ind
HD68146;2;Multiple system;8;10;39.826;-13;47;57.142;22.553;5.54;4.143;4.403;4.348;F6.5 V;6360;70;-0.07;1.25;0.05;2.58;0.02;1.322;0.008;-999;-999;4.12;0.07;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;170;3E-06;4;-999;2.06;1.19;1.53;2.20;832.03;20.28;mdl(hz) > 10mE;
HD68834;0;Unknown system ;8;14;35.914;13;1;22.175;19.240;8.797;6.62;6.04;5.891;K5 V;4450;70;-999;0.7;0.02;0.1614;0.0008;0.677;0.007;-999;-999;4.43;0.06;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.55;0.32;0.38;0.55;138.42;2.04;;
HD69830;3;Single system  ;8;18;23.947;-12;37;55.817;12.579;5.95;4.953;4.364;4.165;G8 V;5420;70;-0.02;0.9;0.04;0.601;0.002;0.879;0.004;0.72;0.85;-999;-999;6000;2000;61.82;72.99;-999;-999;-999;-999;-999;-999;-999;-999;470;0.00028;0.27;-999;0.19;0.11;0.74;1.06;328.72;1.1;Hot and warm Jupiters;"3 planets (Lovis 2006, Rosenthal 2021): b at 8.6d, 10Me; c at 31d, 11Me; d at 197d, 18Me. Strong activity signals at 200d - how robust is d?"
