star_ID  ;prio;sys            ;R.A.[deg];R.A.[min] ;R.A.[sec]  ;DEC [deg];DEC [amin];DEC [arcs]  ;dist [pc]         ;magV     ;magJ ;magH ;magK ;spT   ;Teff ;Teff_e;met  ;mass ;mass_e;lum    ;lum_e;R*   ;R*_e;vsini ;vsini_e;logg;logg_e;age  ;age_e;Protmax;Protmax_e;Prot;Prot_e;i*;i*_e;i_dd  ;i_dd_e;Prot_d;Prot_d_e;dd_t1;dd_l1;dd_r1;dd_l2;RV_Prec(390-870) 10m;RV_Prec(390-870) 30m;HZ Rin;HZ Rout;P(HZ);mdl(hz) 30min;Notes RL;Notes MH
GJ566B;3;Multiple system;14;51;23.044;19;6;6.888;6.7486;6.816;2.66;2.253;1.971;K5 V;5660;200;-0.1;0.91;0.1;0.59;0.02;0.0308;0.0004;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;22;1.1e-06;120;-999;0.32;0.18;-999;-999;-999;-999;very odd SED and Teff;
HD131156;3;Multiple system;14;51;23.280;19;6;2.280;6.733;4.54;2.66;2.253;1.971;G7 V;5220;70;-0.09;0.9;0.06;0.68;0.01;1.01;0.01;4.39;0.5;-999;-999;300;150;11.65;1.33;-999;-999;-999;-999;-999;-999;-999;-999;0;-999;-999;-999;0.09;0.05;0.79;1.13;362.13;0.52;PMS star <500Myr;
HD130992;0;Unknown system ;14;51;40.465;-24;18;14.876;16.768;7.805;5.99;5.493;5.385;K3.5 V;4770;70;-0.04;0.77;0.02;0.245;0.002;0.725;0.006;1.18;1.09;3.56;0.18;-999;-999;31.11;28.74;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.35;0.20;0.47;0.68;181.48;1.49;-999;Low RV scatter, no strong activity signals
HD131511;3;Multiple system;14;53;23.765;19;9;10.073;11.629;6.01;4.882;4.165;4.32;K0 V;5220;70;0.13;0.87;0.02;0.522;0.007;0.886;0.009;4.51;2.1;-999;-999;1000;500;9.95;4.63;-999;-999;-999;-999;-999;-999;-999;-999;170;3E-05;2;-999;0.18;0.10;0.69;0.99;301.46;0.95;RS CVn Variable (spectr. binary);
HD132683;0;Unknown system ;15;0;43.413;-11;8;6.469;17.836;9.472;6.829;6.148;5.988;K8 V;4070;70;-999;0.64;0.02;0.1067;0.0006;0.656;0.005;2.5;1.5;4.45;0.04;-999;-999;13.29;7.97;-999;-999;90;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.68;0.40;0.31;0.45;106.95;2.2;;Only 5 obs, RMS 2.39 m/s
HD135599;2;Single system  ;15;15;59.167;0;47;46.900;15.819;6.905;5.48;5.115;4.958;K0 V;5250;70;-0.06;0.86;0.02;0.414;0.005;0.776;0.008;2.9;1.7;4.39;0.38;1200;500;13.55;7.94;-999;-999;-999;-999;-999;-999;-999;-999;58;0.0001;14.9;-999;0.27;0.16;0.61;0.88;253.26;1.43;BY Dra variable;
HD136352;0;Unknown system ;15;21;48.150;-48;19;3.470;14.739;5.65;4.308;3.898;4.159;G2 V;5770;70;-0.34;1.01;0.02;1.037;0.006;1.018;0.007;1.55;1.24;4.42;0.1;-999;-999;33.26;26.61;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.19;0.11;0.97;1.39;465.84;1.34;-999;"3 known planets (Udry et al 2019, updated Delrez et al 2021): b at 11.6d, 4.7Me; c at 27.6d, 11.24 Me; d at 107d, 8-10Me. Peaks in act ind at ~100-1000d ranges"
GJ583;1;Unknown system ;15;22;4.100;-4;46;38.831;19.153;9.459;6.987;6.346;6.183;K4 V;4200;70;-999;0.65;0.02;0.1099;0.0007;0.626;0.004;3.21;1.79;4.42;0.07;-999;-999;9.88;5.51;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.72;0.42;0.32;0.45;108.22;2.34;mdl(hz) > 10mE;Only seven obs, over 10 years! RMS 4.14 m/s, no clear trend, but could be seasonal offsets too maybe?
HD139763;0;Unknown system ;15;40;34.570;-18;2;56.500;15.581;8.91;6.475;5.874;5.689;K6 V;4250;70;-999;0.66;0.02;0.1167;0.0008;0.63;0.004;2.0;1.79;4.3;0.12;-999;-999;15.95;14.28;-999;-999;53;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.57;0.33;0.32;0.47;111.61;1.88;-999;8 obs over 9 years, high scatter RMS 7.5m/s
HD140538;3;Multiple system;15;44;1.819;2;30;54.601;14.793;5.86;4.593;4.045;4.297;G2.5 V;5680;70;-0.06;0.98;0.02;0.826;0.083;0.965;0.007;4.1;2.0;-999;-999;-999;-999;11.92;5.81;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.21;0.12;0.89;1.28;416.97;1.38;"Close WDS comp. 0.2""";No data on exoplanets archive. Observations are multi-point series for each night, should probably average over the night? Taking nightly medians, still a lot of peaks in the 50-200d range in RVs and most activity indicators
HD141004;2;Multiple system;15;46;26.614;7;21;11.047;11.916;4.42;3.43;3.07;2.989;G0 V;6000;60;0;1.05;0.05;2.05;0.01;1.403;0.006;-999;-999;3.99;0.06;3800;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.23;0.13;1.44;2.07;828.7;1.97;HWO target candidate, probably spectroscopic binary;
HD140901;3;Multiple system;15;47;29.101;-37;54;58.723;15.246;6.01;4.959;4.505;4.323;G7 IV;5600;70;0.09;0.902;24;0.816;0.004;0.96;0.006;7.52;0.418;-999;-999;85;65;6.46;0.36;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.21;0.12;0.86;1.24;413.77;1.3;PMS star <100Myr;
HD142860;1;Multiple system;15;56;27.183;15;39;41.810;11.165;3.85;3.149;2.875;2.703;F6 V;6340;70;-0.18;1.27;0.05;3.03;0.02;1.45;0.01;-999;-999;3.65;0.22;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.89;0.52;1.66;2.40;937.39;9.32;;
HD142709;0;Multiple system;15;57;40.744;-42;37;27.243;14.740;8.06;6.032;5.452;5.284;K4 V;4457;70;-0.42;0.71;0.02;0.174;0.001;0.7;0.004;2.7;1.64;4.45;0.05;-999;-999;13.13;7.97;-999;-999;-999;-999;-999;-999;-999;-999;43;6E-05;17;-999;0.39;0.23;0.40;0.57;146.41;1.51;-999;Low-significance peak at 4000d. Another at 300d may line up with act ind? But none of them are significant
HD144628;0;Unknown system ;16;9;42.940;-56;26;45.460;14.671;7.11;5.546;5.102;4.981;K3 V;5060;70;-0.4;0.8;0.02;0.307;0.031;0.787;0.039;0.22;0.47;4.0;0.3;-999;-999;181.15;387.11;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.27;0.16;0.58;0.83;241.72;1.34;-999;No data on exoplanet archive. Big offset pre/post upgrade. Taking only pre-upgrade data, RV peaks at  15, 30,40d, many in act ind (image saved)
HD145417;2;Unknown system ;16;13;48.559;-57;34;13.844;13.597;7.53;5.888;5.395;5.293;K3 V;4920;70;-1.16;0.62;16;0.195;0.019;0.589;0.029;4.6;2.14;3.5;0.3;-999;-999;6.48;3.03;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.31;0.18;0.41;0.59;164;1.12;-999;"Peaks in RV at 40d, 60d; lots of signal in Halpha"
HD146233;0;Multiple system;16;15;37.271;-8;22;9.982;14.137;5.49;4.667;4.162;4.186;G2 V;5880;70;0.06;1.04;0.02;1.087;0.007;1.007;0.008;2.06;1.44;4.37;0.1;-999;-999;24.75;17.31;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.19;0.11;0.99;1.43;476.69;1.38;-999;FAP lines super low -> Some nights have literally hundreds of points!! (G pdf) Taking nightly median (GK pdf), peaks in RV at 20d, 1000d, also in act ind though not at same period...
HD147513;0;Multiple system;16;24;1.291;-39;11;34.730;12.892;5.37;4.405;4.025;3.933;G5 V;5910;70;0.04;1.04;0.03;1.009;0.007;0.957;0.007;-999;-999;4.41;0.07;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.18;0.10;0.95;1.38;450.35;1.23;-999;
HD149661;2;Multiple system;16;36;21.450;-2;19;28.513;9.894;5.77;4.446;4.053;4.039;K2 V;5450;320;0.07;0.89;0.02;0.464;0.003;0.819;0.006;2.4;1.55;4.26;0.09;-999;-999;17.28;11.16;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.18;0.10;0.69;1.0;300.72;0.97;BY Dra variable;lots of signals at 50-100d in all periodograms, high rms
HD150689;0;Unknown system ;16;44;15.016;-38;56;37.087;14.220;7.52;5.68;5.189;5.043;K3 V;4660;70;-0.11;0.75;0.02;0.225;0.002;0.729;0.005;7.60;0.422;4.72;0.29;-999;-999;4.86;0.27;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.31;0.18;0.45;0.65;172.02;1.29;-999;
HD152391;0;Unknown system;16;52;58.803;-0;1;35.118;16.810;6.64;5.235;4.942;4.835;G8,5 V;5410;70;0.03;0.88;0.05;0.571;0.004;0.861;0.006;-999;-999;4.39;0.08;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.39;0.15;0.72;1.04;321.41;1.47;;
HD152705;0;Multiple system;16;56;42.672;-39;8;12.754;15.692;8.59;6.304;5.728;5.561;K3.5 V;4442;70;-999;0.7;0.02;0.1399;0.0007;0.631;0.003;-999;-999;4.43;0.07;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.50;0.29;0.36;0.51;125.25;1.79;-999;
HD154088;0;Unknown system ;17;4;27.843;-28;34;57.640;18.273;6.584;5.225;4.955;4.758;K0 V;5420;70;0.3;0.93;0.02;0.717;0.005;0.96;0.009;1.06;1.03;3.99;0.13;-999;-999;45.86;44.57;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.26;0.15;0.81;1.16;370.25;1.6;-999;One planet (Unger at 21), 18.56d, 6.6Me. Strong signal in act ind (and also small peak in RVs) at 400d
HD154363;0;Multiple system;17;5;3.394;-5;3;59.438;10.464;7.7;5.522;4.942;4.726;K4.5 V;4300;70;-0.6;0.68;0.02;0.133;0.001;0.657;0.005;-999;-999;4.05;0.07;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.33;0.19;0.35;0.50;122.72;1.14;-999;Some RV peaks but not significant. Halpha quite noisy, though
HD154577;0;Single system  ;17;10;10.351;-60;43;43.580;13.726;7.38;5.694;5.204;5.091;K2.5 V;5040;70;-0.69;0.78;0.03;0.224;0.001;0.622;0.004;3.13;1.77;4.66;0.1;4800;-999;10.06;5.69;-999;-999;-999;-999;-999;-999;-999;-999;67;1.5e-05;8;-999;0.30;0.18;0.45;0.65;168.68;1.32;-999;Outliers & jump pre/post. Taking pre only, peaks in the 100s of days for all periodograms (image saved)
HD155203;3;Multiple system;17;12;9.194;-43;14;21.082;22.436;3.33;2.398;2.295;2.255;F5 IV;6590;70;-0.11;1.6;0.25;19.1;0.2;3.36;0.03;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;1.16;0.67;4.17;6.00;3311.0;21.33;overluminous, too hot and massive;
HD155886;0;Multiple system;17;15;20.784;-26;36;6.117;5.953;5.08;2.518;2.013;1.84;K2 V;4600;300;-0.17;0.8;0.06;0.43;0.06;1.0;0.2;7.86;0.437;4.574;162;-999;-999;6.44;1.34;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.10;0.06;0.45;0.60;155.34;0.43;-999;
HD155885;0;Multiple system;17;15;20.984;-26;36;10.173;5.948;5.03;2.518;2.013;1.84;K1 V;5210;70;-999;0.84;0.02;0.339;0.007;0.71;0.02;-999;-999;2.57;1.0;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.11;0.06;0.55;0.79;218.55;0.5;-999;
HD156026;3;Multiple system;17;16;13.362;-26;32;46.136;5.954;6.34;4.155;-999;3.466;K5 V;4520;70;-0.16;0.71;0.02;0.145;0.001;0.622;0.005;0.135;1.5;-999;-999;-999;-999;233.32;2592;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.18;0.10;0.36;0.52;126.51;0.62;RS CVn Variable;
HD156274;0;Multiple system;17;19;3.838;-46;38;10.440;8.791;5.47;4.077;3.146;3.421;G9 V;5340;70;-0.34;0.88;0.02;0.487;0.049;0.853;0.043;4.5;0.5;4.686;0.071;-999;-999;9.6;1.17;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.15;0.09;0.69;1.0;302.43;0.87;-999;Strong linear trend: fitting out, some peaks in Rv at 10d, 20d but also plenty of peaks in act ind. RMS not too bad once linear fitted out, 1.4 m/s
HD157347;0;Multiple system;17;22;51.288;-2;23;17.439;19.620;6.278;5.133;4.803;4.686;G3 V;5700;70;0.02;1.0;0.02;1.031;0.006;1.041;0.008;1.55;1.25;4.04;0.1;-999;-999;34.01;27.43;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.25;0.15;0.97;1.39;468.17;1.82;-999;Forest of peaks at 10-100d, also strong in CRX, Na... probably quite active? However, taking night-medians of data, nothing significant in periodograms except at ~300d in NaD1
HD157881;0;Multiple system;17;25;45.232;2;6;41.124;7.713;7.54;4.934;4.341;4.37;K7 V;4081;70;-0.19;0.64;0.02;0.1127;0.0009;0.671;0.005;-999;-999;4.49;0.01;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.29;0.16;0.32;0.46;111.19;0.89;-999;
HD158233;0;Unknown system ;17;29;6.556;-23;50;10.004;18.394;9.597;7.177;6.567;6.39;K5 V;4200;70;-999;0.64;0.03;0.0867;0.0006;0.556;0.004;1.9;1.38;4.42;0.07;-999;-999;14.82;10.76;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.30;0.17;0.28;0.40;90.51;0.88;-999;Only 8 obs over 9 years. RMS 4.78m/s, no clear trend
HD160346;3;Multiple system;17;39;16.916;3;33;18.876;11.000;6.525;4.696;4.399;4.098;K3 V;4760;70;-0.1;0.79;0.03;0.342;0.006;0.862;0.009;3.0;1.7;-999;-999;-999;-999;14.55;8.25;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.20;0.11;0.56;0.80;230.42;0.9;Spectroscopic Binary;Very strong signal at 90d! Close signal in CRX though... Super high RMS -> fitting the 83d signal, rms=5.68. Also fitting the next signal at 27d, fit is very eccentric and rms only goes down to 3.4
HD160032;2;Unknown system ;17;40;23.826;-49;24;56.099;20.962;4.77;4.02;3.7;3.83;F4 V;6640;70;-0.29;1.35;0.1;4.55;0.06;1.61;0.01;-999;-999;3.87;0.07;2200;300;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;76;5.4e-06;27;-999;2.44;1.41;2.03;2.92;1224.0;28.76;mdl(hz) > 10mE;
HD160915;2;Unknown system ;17;43;25.794;-21;40;59.499;17.169;4.861;4.081;3.787;3.877;F5 V;6440;70;-0.18;1.29;0.03;2.88;0.03;1.365;0.01;-999;-999;4.1;0.06;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;1.80;1.04;1.62;2.33;892.55;18.52;mdl(hz) > 10mE;
HD160691;0;Unknown system ;17;44;8.703;-51;50;2.592;15.60;5.12;4.158;3.724;3.683;G3 V;5750;70;0.28;1.08;0.05;1.849;0.01;1.37;0.007;7.06;0.392;4.74;0.18;-999;-999;9.83;0.55;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.15;0.09;1.29;1.86;694.68;1.31;HWO target candidate;
HD165341A;2;Multiple system;18;5;27.248;2;30;527;5.1133;3.987;2.343;1.876;1.791;K0 V;5138;70;-0.02;0.84;0.02;0.562;0.003;0.946;0.002;-999;-999;4.35;0.04;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;700;0.0015;0.12;-999;0.07;0.04;0.72;1.03;326.17;0.38;HWO target candidate, spectroscopic binary;
HD165341B;0;Multiple system;18;5;27.463;2;29;56.209;5.106;6.07;2.343;1.876;1.791;K4 V;4500;70;-0.02;0.7;0.02;0.14;0.006;0.62;0.03;-999;-999;3.23;0.85;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.16;0.09;0.36;0.52;127.41;0.56;-999;
HD165185;2;Multiple system;18;6;23.719;-36;1;11.231;17.115;5.94;4.835;4.614;4.469;G1 V;5970;70;-0.08;0.95;0.1;1.08;0.009;0.971;0.008;9.04;0.502;4.911;156;350;130;5.44;0.31;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.24;0.14;0.99;1.42;495.67;1.67;HWO target candidate, PMS star 350 Myr;
HD165499;0;Single system  ;18;10;26.154;-62;0;7.992;17.795;5.49;4.43;4.02;4.13;G0 V;6030;70;0.01;1.13;0.05;1.71;0.02;1.2;0.01;-999;-999;4.05;0.1;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.36;0.21;1.25;1.80;647.06;3.08;HWO target candidate;
HD166348;2;Single system  ;18;12;21.392;-43;26;41.453;13.208;8.38;6.037;5.417;5.241;M0 V;4300;90;0.34;0.72;0.02;0.1304;0.0008;0.656;0.003;4.8;2.2;4.43;0.06;3500;2500;6.92;3.17;-999;-999;-999;-999;-999;-999;-999;-999;80;4E-05;4;-999;0.45;0.26;0.35;0.50;119.26;1.6;-999;No signals, but relatively high RMS 
HD168442;0;Unknown system ;18;19;50.841;-1;56;19.004;19.085;9.66;7.084;6.455;6.28;K7 V;4500;80;-0.7;0.62;0.06;0.0965;0.0006;0.614;0.004;7.56;0.42;4.45;0.05;-999;-999;4.11;0.23;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.81;0.47;0.36;0.51;133.08;2.72;;Only 5 obs over 6 years. RMS 4.18 m/s, no clear trend
HD170493;0;Unknown system ;18;29;52.408;-1;49;5.170;18.812;8.004;6.069;5.643;5.484;K4 V;4750;70;0.34;0.77;0.02;0.265;0.002;0.761;0.005;1.21;1.1;4.47;0.03;-999;-999;31.85;28.95;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.39;0.22;0.49;0.71;193.45;1.67;-999;RV RMS 3.16 m/s, hint of long-term signal at ~4000d? But not significant. Visually, looks like a 2nd order/half-keplerian? Activity indicators fairly quiet, signal in NaD1 at ~350d. Fitting out a quadratic, rms is pretty good
HD170657;0;Multiple system;18;31;18.961;-18;54;31.730;13.184;6.81;5.286;4.87;4.704;K2 V;5130;70;-0.13;0.82;0.02;0.327;0.002;0.724;0.005;7.89;0.439;4.4;0.3;-999;-999;4.65;0.26;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.24;0.14;0.54;0.78;216.27;1.15;-999;
HD172051;0;Multiple system;18;38;53.401;-21;3;6.751;13.031;5.85;4.789;4.309;4.227;G6 V;5650;70;-0.22;0.96;0.02;0.692;0.004;0.867;0.007;4.0;2.0;4.62;0.8;-999;-999;10.98;5.49;-999;-999;-999;-999;-999;-999;-999;-999;90;5E-06;8;-999;0.20;0.11;0.79;1.14;353.37;1.18;-999;Some signals around 10d in RV, could try fitting? Scatter relatively low (1.46 m/s) Signals disappear when night-binning, but it is a relatively short period. Nothing major in activity indices. Fits: autofit 1.56d, 3.2Me. Alternate at 15d, 6.4Me. Alternate at 689d, 18Me
HD173667;2;Multiple system;18;45;39.726;20;32;46.713;19.352;4.19;3.32;3.286;3.06;F6 V;6410;70;0.01;1.37;0.1;6.29;0.07;2.04;0.02;-999;-999;3.75;0.09;2399;113;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;1.24;0.72;2.39;3.45;1557.0;16.07;mdl(hz) > 10mE;
HD173818;0;Multiple system;18;47;27.251;-3;38;23.402;14.259;8.766;6.384;5.744;5.581;K5 V;4200;70;-0.42;0.65;0.02;0.1089;0.0007;0.623;0.005;5.1;2.26;4.42;0.08;-999;-999;6.19;2.74;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.19;0.04;0.31;0.45;106.12;0.22;-999;9 obs, no signal, RMS 3.05
HIP92444;0;Unknown system ;18;50;21.163;-26;55;25.083;17.649;9.68;6.989;6.378;6.183;K8 V;4090;70;-999;0.63;0.02;0.0886;0.0006;0.592;0.005;-999;-999;4.42;0.07;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.76;0.44;0.28;0.41;93.25;2.29;;Only 7 obs. Removing a visual outlier, RMS 4.25 m/s, no signals
HD177565;0;Unknown system ;19;6;52.464;-37;48;38.373;16.953;6.16;5.256;4.742;4.539;G6 V;5640;70;0.08;0.98;0.02;0.874;0.006;0.979;0.009;0.75;0.87;4.09;0.12;-999;-999;66.1;76.68;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.23;0.12;0.89;1.28;416.97;1.38;-999;One known planet, b at 44.5d, 15Me (Feng et al 2017). There's a distinct jump at around 2014-10-16/17... Could be related to lamp change from ThAr to FP, maybe? Splitting the data, there's a clear ~40d signal in both, though also lots of others. Feng et al have 68 RVs, didn't include the last season of data, coinciding with the post-jump phase (it isn't mentioned at all). CRX and Halpha show quite a few peaks in their periodograms
