source_id,source_id_dr2,source_id_dr3,HD Number,GJ Number,HIP Number,RA,DEC,V_mag,Phot G Mean Mag,Phot BP Mean Mag,Phot RP Mean Mag,BP-RP,Parallax,Distance [pc],T_eff [K],Mass [M_Sun],Luminosity [L_Sun],Radius [R_Sun],HZ_limit [AU],Orbital Period [days],Yearly_Observable_nights,K_σ_RV_total [m/s],HZ Detection Limit [M_Earth],K_σ_photon [m/s],HZ Detection Limit (σ_photon) [M_Earth],σ_photon [m/s],σ_p-mode [m/s],σ_granulation [m/s],σ_supergranulation [m/s],"σ_RV,total [m/s]",Density [Solar unit],logg_gaia,log_rhk,activity_noise_floor [m/s],rhk_source,Gaia Spectral type,Object Type,Stellar Parameter Source,SIMBAD Spectral Type,Readable Spectral Type (experimental),HWO_match,LOPS2_match,TESS_confirmed_match,TESS_candidate_match,sum_score
Gaia DR3 5902750168276592256,5902750168276592256,5902750168276592256,HD 136352,GJ 582,75181,230.4397756821488,-48.31885569587278,5.482170104980469,5.482170104980469,5.811648845672607,4.974900245666504,0.8367486000061035,67.84669435693799,14.73911160268253,5620.91,0.94079065,1.0413179,1.0581557,1.019914157386467,387.8307114221698,248,0.08019680609824066,0.8786003547184101,0.03213493902083905,0.3520560256224849,0.1684633464066345,0.6495667435386698,0.3662718240975267,0.882132140919569,0.4204215952509643,0.7940434459215121,4.3504,-4.86883233682,2.03113280655811,HD_number_match,G,PM*,GAIA,G2-V,G2V,1,0,1,1,2.5
Gaia DR3 4758877919212831104,4758877919212831104,4758877919212831104,HD 40307,GJ 2046,27887,88.51720463376759,-60.023737219948,7.128657276215553,6.857923030853271,7.359889030456543,6.19348669052124,1.166402339935303,77.3261340611626,12.93223839703444,4907.0,0.7568047,0.2594847,0.75517464,0.5236220168330016,159.0663080695983,247,0.07090970120451177,0.4992436050238176,0.04960236637163561,0.349228156154068,0.2596602998017937,0.3450616069701712,0.2432608282182192,0.5858714241171527,0.37120072328138,1.75728268109685,,-5.25891545025,0.4572991062426492,HD_number_match,K,PM*,GAIA,K2.5V,K2.5V,0,1,1,0,2.0
Gaia DR3 6847167606385195648,6847167606385195648,6847167606385195648,HD 192310,GJ 785,99825,303.8286649315622,-27.03378080946467,5.706821329026222,5.481349945068359,5.935905933380127,4.855769157409668,1.080136775970459,113.4871798847664,8.811567976359871,4978.235,0.84917706,0.38908634,0.79156786,0.6394719386028508,202.66388946563,243,0.06070312540506773,0.5002958724523116,0.02602739297096883,0.2145095032122173,0.1351297147868938,0.3996198518129659,0.2635695252437283,0.6347830607972076,0.3151601096509864,1.712118408202441,4.4981,-5.30569523093,0.3824246841384515,HD_number_match,K,PM*,GAIA,K2+V,K2V,1,0,1,0,2.0
Gaia DR3 2452378776434477184,2452378776434276992,2452378776434477184,HD 10700,GJ 71,8102,26.0090550571601,-15.93368020069386,3.571155598571301,3.300399780273438,3.799520492553711,2.748299360275269,1.051221132278442,273.8097451185997,3.652170961142577,5420.00830078125,0.81,0.4528975188732147,0.914,0.6780904780848228,226.5855562810302,240,0.06061589726871203,0.5024338210309615,0.01235117594276439,0.1023765844072056,0.06372480476792133,0.4601753676917382,0.2857084787158296,0.6881027024927788,0.312742384788384,1.060831560138101,,-4.99718092445,1.243596999180874,HD_number_match,F,PM*,,G8V,G8V,1,0,1,0,2.0
Gaia DR3 4847957293278177024,4847957293277762560,4847957293278177024,HD 20794,GJ 139,15510,50.00034361894219,-43.06655252783423,4.063914775848389,4.063914775848389,4.440890789031982,3.508292675018311,0.9325981140136719,165.5242095575573,6.041412326770681,5427.3184,0.88599557,0.64640737,0.9096495,0.8098666161325424,282.7793769196336,258,0.06379179211551542,0.6043566736006712,0.01500188431861197,0.1421262611359252,0.0802401676628899,0.5228162358938716,0.3118437911709577,0.7510472087660903,0.3412014108464192,1.177088983194154,4.4433,-4.94625344122,1.510842828902312,HD_number_match,G,PM*,GAIA,G6V,G6V,1,0,1,0,2.0
Gaia DR3 5726982995343100928,5726982995343100928,5726982995343100928,HD 69830,GJ 302,40693,124.6010488393659,-12.63656179358332,5.755219459533691,5.755219459533691,6.13964319229126,5.203418254852295,0.9362249374389648,79.49527095617434,12.57936463354278,5361.131,0.8726523,0.597206,0.8927628,0.7804998265190011,269.5763943673536,252,0.06949006871821493,0.6414100505210698,0.03201871358546835,0.295540428687066,0.1692601767896408,0.5036370135031565,0.3061968978972234,0.7374471835242439,0.3673445931852637,1.226402369197755,4.4575,-5.01637100599,1.155644162951503,HD_number_match,G,PM*,GAIA,G8:V,G8,1,0,1,0,2.0
Gaia DR3 5381537023379295232,5381537023379295232,5381537023379295232,HD 102365,GJ 442,57443,176.6205205763661,-40.4985651456299,4.701675891876221,4.701675891876221,5.051711559295654,4.195355892181396,0.8563556671142578,107.3024338562276,9.319453101500756,5538.9297,0.92678267,0.85971,0.9857168,0.9297919389433966,340.1206305972193,266,0.06944299450851499,0.720968476254795,0.02088247727308321,0.2168052793022065,0.1133940392740761,0.5926520497047932,0.3403245751876772,0.8196405684700214,0.3770827351387976,0.9676569692153486,4.3867,-4.88357510485,1.919841281797592,HD_number_match,F,PM*,GAIA,G2V,G2V,1,0,1,0,2.0
Gaia DR3 3507879565090229888,3507879565090229888,3507879565090229888,HD 115617,GJ 506,64924,199.596298132351,-18.31592210064546,4.532528400421143,4.532528400421143,4.904673099517822,4.006235122680664,0.8984379768371582,117.1726460991387,8.534415098502675,5571.85791015625,0.89668727,0.8442275,0.99628156,0.9201578535979812,340.4209398920711,257,0.07151357180371477,0.7265175937409041,0.01994613894829392,0.2026359543739568,0.1064614568538558,0.5984242868416478,0.3475336643089466,0.8370029993266521,0.3816998898274249,0.906764956917385,,-4.93133796278,1.599480617912704,HD_number_match,G,PM*,GAIA,G6.5V,G6.5V,1,0,1,0,2.0
Gaia DR3 4657193606465368704,4657193606465368704,4657193606465368704,HD 39194,GJ 217.2,27080,86.12894471761606,-70.13806560262964,7.864647388458252,7.864647388458252,8.261411666870117,7.290993213653564,0.9704184532165527,37.82347285358811,26.43860874095106,5150.351,0.82322896,0.40066,0.8112871,0.6446335008934136,208.3302093117001,226,0.09886524239882624,0.8055015613867987,0.07981610573458224,0.6502992986520317,0.3996286421958765,0.4188987833925032,0.2712420964603152,0.6532617458293477,0.4950051398347132,1.541689549412003,4.5089,-5.24130968,0.4891318367250553,HD_number_match,G,PM*,GAIA,K0V,K0V,0,1,1,0,2.0
Gaia DR3 6427244702486210816,6427244702486210816,6427244702486210816,HD 189567,GJ 776,98959,301.396266053525,-67.32389294266508,5.91546106338501,5.91546106338501,6.239302635192871,5.418190956115723,0.8211116790771484,55.76543555731051,17.93225480992242,5631.3403,0.9574586,1.0285605,1.0393018,1.013220099603891,380.6615005810982,232,0.08471104474264851,0.9331639090610774,0.04074491462403249,0.4488397459909932,0.2065997658614296,0.6414080638120929,0.3573527949134353,0.8606514760377633,0.4295329164681946,0.8528938169750084,4.353,-4.80647482789,2.577815232877307,HD_number_match,G,PM*,GAIA,G2V,G2V,1,0,1,0,2.0
Gaia DR3 5488567574038257280,5488567574038257280,5488567574038257280,HD 63765,,38041,116.9582970992207,-54.26538360731261,7.922089576721191,7.922089576721191,8.293935775756836,7.37880802154541,0.9151277542114258,30.75323644852065,32.51690278757974,5370.0527,0.91831994,0.53427243,0.78954583,0.7379677638242946,241.6030109746239,248,0.1045204414810635,0.962327582179309,0.08793352925425067,0.8096106311899548,0.4611690104102146,0.4675527828990781,0.2749832536435138,0.6622719802465408,0.5481593764545822,1.865786653257043,4.481,-4.91527329125,1.700772936457459,HD_number_match,G,PM*,GAIA,G9V,G9V,0,1,1,0,2.0
Gaia DR3 5485320853638354304,5485320853638354304,5485320853638354304,HD 51608,GJ 253,33229,103.7137035181827,-55.26004107774681,7.971663951873779,7.971663951873779,8.357736587524414,7.41334867477417,0.9443879127502441,28.60685881151777,34.95665171030164,5437.41,0.8387064,0.6056336,0.92555094,0.7835910216052951,276.6129198995365,272,0.1080189573435786,0.9793900339307793,0.0887806473112443,0.8049594563849495,0.4875798432573615,0.5202707009107589,0.3185716578456914,0.7672506594361694,0.5932358896389254,1.05781319093341,4.45,-5.26212586972,0.4517218064866484,HD_number_match,G,PM*,GAIA,K0IV-V,K0IV-V,0,1,1,0,2.0
Gaia DR3 5540006949934104448,5540006949934104448,5540006949934104448,HD 70642,GJ 304,40952,125.3660714905395,-39.70441185773698,7.00758171081543,7.00758171081543,7.346343040466309,6.498011112213135,0.8483319282531738,34.14779002621171,29.28447197409859,5579.8657,0.9473374,0.979605,1.0252615,0.9908721930996639,370.0985491729708,277,0.09039697065154546,0.9795374263373094,0.06028146078789828,0.6532071432309863,0.3340034398526273,0.6265908897467604,0.354092797522541,0.8528000709101438,0.5008654195708296,0.8790240049700396,4.3248,-4.85104234076,2.17405093275327,HIP_number_match,G,PM*,GAIA,G6VCN+0.5,G6V,0,1,1,0,2.0
Gaia DR3 2898239468873596800,2898239468873596800,2898239468873596800,HD 45184,GJ 3394,30503,96.18199432228883,-28.78065704294952,6.221315860748291,6.221315860748291,6.531440734863281,5.739753246307373,0.7916874885559082,45.67823640181501,21.89226377313169,5739.9775,1.0305887,1.1321992,1.0317069,1.058385298826685,391.711455733279,244,0.08499696095397054,0.9928279178113213,0.04788631913870611,0.5593479341911589,0.2490019845919149,0.6562598079159541,0.3450079505165895,0.8309200489919062,0.4419719941412901,0.9384613064831884,4.3624,-4.84114118048,2.257904870596253,HD_number_match,G,PM*,GAIA,G2Va,G2V,0,1,1,0,2.0
Gaia DR3 3494677900774838144,3494677900774838144,3494677900774838144,HD 104067,GJ 1153,58451,179.7923752668886,-20.35566459910368,7.896849588732719,7.632170677185059,8.12775707244873,6.974382877349854,1.153374195098877,49.14696348449504,20.34713701723366,4852.3135,0.8226277,0.29362223,0.72640634,0.5581335994204907,167.8992861418995,237,0.08827337731641663,0.6689697604315441,0.07201059816602934,0.5457241364062082,0.3692478537982805,0.3499869310089186,0.2394003956200058,0.5765739257875214,0.4526383053569616,2.146171637580412,4.5221,-4.88017829427,1.944930251984003,HD_number_match,K,PM*,GAIA,K2V,K2V,0,0,1,1,1.5
Gaia DR3 4911306239828325760,4911306239828325760,4911306239828325760,HD 10361,GJ 66,,24.95065662375784,-56.19640006625107,5.860563174533844,5.625487327575684,6.0899977684021,4.995799541473389,1.094198226928711,122.0034723530398,8.196488023769628,4902.265,0.8265656,0.3073524,0.7482267,0.5699766609479823,172.8582884656245,250,0.05730207090870616,0.4398894162308072,0.02749265930096802,0.2110522300285284,0.1447871356176373,0.3589072716637888,0.2425217750240922,0.584091482190156,0.3017751982813165,1.973230055558392,4.5288,-4.93908810138,1.552793669059586,HD_number_match,G,PM*,GAIA,K2V,K2V,1,0,0,0,1.0
Gaia DR3 4911306239828325632,4911306239828325632,4911306239828325632,HD 10360,GJ 66,,24.95131741550617,-56.19325138476668,5.72813984459877,5.508301734924316,5.956991672515869,4.886207103729248,1.070784568786621,122.108812649359,8.189417113337639,5044.24,0.848425,0.3307818,0.72947353,0.5881350919081577,178.8348577836058,250,0.05679904344417944,0.4487374257342096,0.02664624968400855,0.2105170926060432,0.1403279653589272,0.3732018204301692,0.241639332754508,0.5819662008081543,0.2991225517802762,2.185671274726886,4.5958,-4.85208019017,2.165443637442135,HD_number_match,G,PM*,GAIA,K2V,K2V,1,0,0,0,1.0
Gaia DR3 2552925644460225152,2552925644460225152,2552925644460225152,HD 4628,GJ 33,3765,12.09910707515499,5.27553944692346,5.708550517215729,5.467689037322998,5.938368320465088,4.828773975372314,1.109594345092773,134.4948476893115,7.435229060298576,4859.2896,0.81159145,0.29489297,0.74619365,0.5591959546023189,169.5198512404526,205,0.06237187761734732,0.469943400906221,0.02827068829929205,0.2130066291548343,0.1348215591429769,0.3531250985305872,0.2430057265089261,0.5852570350154915,0.2974484985304121,1.953362366508123,4.5204,-4.91224981156,1.720542135488013,HD_number_match,G,PM*,GAIA,K2.5V,K2.5V,1,0,0,0,1.0
Gaia DR3 3211461469444773376,3211461469444773376,3211461469444773376,HD 32147,GJ 183,23311,75.2066176720424,-5.758598962923454,6.203080644965172,5.886491775512695,6.436380386352539,5.186892986297607,1.249487400054932,113.0714591247876,8.843964761225756,4626.91,0.78,0.29215857,0.7966039,0.561265848749604,173.8797022365696,233,0.06397125175220686,0.4733936785863035,0.03294159589514773,0.243771113307463,0.1674807715793742,0.3480613225914486,0.2579154384352785,0.621165710585866,0.3252409092886772,1.543004944765388,4.4978,-5.01583925298,1.157995415576763,HD_number_match,K,PM*,,K3+V,K3V,1,0,0,0,1.0
Gaia DR3 6380214844952702848,6380214844952702848,6380214844952702848,HD 222237,GJ 902,116745,354.9079315818153,-72.72542944515125,7.058919092321396,6.753961086273193,7.291834354400635,6.057794094085693,1.234040260314941,87.37235542781944,11.44526772917466,4720.630859375,0.7474004,0.23293945,0.7578372,0.4995091592739619,149.1357573288465,218,0.07331049956213717,0.5009802040805239,0.05076523521024048,0.346913171342747,0.2496648136908469,0.3226464862227462,0.2379448607219917,0.5730684033004124,0.3605430397192714,1.717218532617633,,-5.19755357304,0.5781773426760709,HD_number_match,K,PM*,GAIA,K3+V,K3V,0,0,1,0,1.0
Gaia DR3 4780166972587269120,4780166972587269120,4780166972587269120,HD 27274,GJ 167,19884,63.9929255161337,-53.30804447302178,7.615119501881599,7.242782592773438,7.850983142852783,6.498486518859863,1.35249662399292,76.66379283678688,13.04396721055723,4421.5454,0.7112622,0.196277,0.712935,0.4632439916583682,136.5347159523212,249,0.07850912813166072,0.5040178433848287,0.06111404959886865,0.3923438230988753,0.3212279336121752,0.2932608962473571,0.2371516143354921,0.5711579420332271,0.41266002114011,1.962817497329519,4.5231,-4.88253965386,1.927454676720255,HIP_number_match,K,PM*,GAIA,K4.5Vk:,K4.5V,0,1,0,0,1.0
Gaia DR3 5640565607657897728,5640565607657897728,5640565607657897728,HD 72673,GJ 309,41926,128.2087598415853,-31.49746297688187,6.168385028839111,6.168385028839111,6.567158222198486,5.590499877929688,0.9766583442687988,82.20799300166873,12.16426728699849,5207.114,0.87969726,0.39650527,0.7812532,0.6398599478616195,199.2985011626688,265,0.06128297981982365,0.5142270904899947,0.03483672258320725,0.2923158526043962,0.1888775475408689,0.4071262227019383,0.2511313044448788,0.6048267452396179,0.3322637170221194,1.844836198763456,4.5402,-4.95761449701,1.446638220150187,HD_number_match,G,PM*,GAIA,K1V,K1V,1,0,0,0,1.0
Gaia DR3 5117974602912370432,5117974602912370432,5117974602912370432,HD 14412,GJ 95,10798,34.74269374763958,-25.94371112925351,6.147863864898682,6.147863864898682,6.518683910369873,5.598161220550537,0.9205226898193359,77.91401913043707,12.83466070882423,5357.897,0.79,0.44263253,0.7770072,0.6720296725093975,226.366622405072,245,0.07124503733962956,0.5805884394403352,0.03884215443958527,0.3165316023778023,0.2024795417174717,0.4573794417773399,0.291276565545763,0.7015129296327384,0.3713919250439595,1.684038290222404,4.5651,-4.83396592352,2.320686986757216,HD_number_match,G,PM*,GAIA,G8V,G8V,1,0,0,0,1.0
