source_id,original_ranking,new_ranking,source_id_dr2,source_id_dr3,RA,DEC,V_mag,Phot G Mean Mag,Phot BP Mean Mag,Phot RP Mean Mag,BP-RP,Parallax,T_eff [K],Mass [M_Sun],Luminosity [L_Sun],Radius [R_Sun],HZ_limit [AU],Orbital Period [days],Semi-Amplitude_σ_RV_total [m/s],HZ Detection Limit [M_Earth],Semi-Amplitude_σ_photon [m/s],HZ Detection Limit (σ_photon) [M_Earth],σ_photon [m/s],σ_granulation [m/s],σ_p-mode [m/s],"σ_RV,total [m/s]",Density [Solar unit],logg_gaia,Gaia Spectral type,HD Number,GJ Number,HIP Number,Object Type,Stellar Parameter Source,SIMBAD Spectral Type,Readable Spectral Type (experimental),Distance [pc],V_mag_group,new_ranking.1,log_rhk,rhk_source,rhk_n_measurements,rhk_n_catalogs,rhk_std,rhk_details,rhk_priority
Gaia DR3 6427464123776727168,7,163,6.427464325637242e+18,6.427464123776727e+18,302.1950398892303,-66.18709128441725,3.618788456735611,3.364138126373291,3.846358299255371,2.827079772949219,1.019278526306152,163.9544145383167,5437.5474,0.98,1.2535083,1.2615935,1.547245304479099,710.0173888051944,0.02689585939428121,0.3704111452314746,0.007217504922619879,0.09939984534087358,0.03792613478839159,1.177876948598961,0.6827936599692225,0.14133083379552,0.4880538549496394,4.3012,G,HD 190248,GJ 780,99240,PM*,GAIA,G8IV,G8IV,6.099256325704463,Brightest,163,-5.08210422507,Boro-Saikia2018(n=3),3,1,0.0,Boro-Saikia2018:logRpHK=-5.082,1.0
Gaia DR3 4683897617110115200,11,1869,,4.683897617110115e+18,6.482504988433097,-77.25279546754571,2.680731773376465,2.680731773376465,3.295626401901245,2.37148904800415,0.9241373538970947,133.7194055667135,5874.89404296875,1.17,3.597492694854736,1.1,2.542566897990447,1368.859627295949,0.03777932729771605,0.7287680779468051,0.005725197964174394,0.110439804375992,0.02970931773272435,1.607970210534945,1.081453942752446,0.1960452800828676,0.8790383170548457,,F,HD 2151,GJ 19,2021,PM*,,G0V,G0V,7.478346136538074,,1869,,,0,0,,,
Gaia DR3 4900108950849461248,24,184,4.900108950847894e+18,4.900108950849461e+18,5.03560954742747,-64.86961713712722,4.07351016998291,4.07351016998291,4.369476795196533,3.600200653076172,0.7692761421203613,116.1825785409811,5857.8096,1.0179046,1.2848463,1.0974233,1.52126497433242,679.1989776779841,0.02717281654595448,0.3781783160183041,0.01066394588362045,0.1484157186855304,0.05604877905474265,1.106151991608447,0.7085045505948163,0.142817978213726,0.7701663629538618,4.2769,F,HD 1581,GJ 17,1599,PM*,GAIA,F9.5V,F9.5V,8.607142418062878,Brightest,184,,,0,0,,,
Gaia DR3 3399063235755057792,25,126,3.399063235753902e+18,3.3990632357550577e+18,88.59482419468164,20.27585214802184,4.24168586730957,4.24168586730957,4.544131755828857,3.747902393341064,0.796229362487793,114.9496607477911,5808.179,1.0000995,1.126165,1.0480603,1.429087692864052,623.892803903488,0.02634993952662763,0.3523194853171306,0.01129537686048425,0.1510281022818787,0.05938884133129865,1.058526477748422,0.6680023413757921,0.1385427327450068,0.8687291588668976,4.3354,F,HD 39587,GJ 222,27913,SB*,GAIA,G0V,G0V,8.699460211492765,Brightest,126,-4.39454085692,Boro-Saikia2018(n=4),4,1,0.0,Boro-Saikia2018:logRpHK=-4.395,1.0
Gaia DR3 1460229442589223424,27,237,1.4602293695733071e+18,1.4602294425892234e+18,197.9642816133702,27.8821053725246,4.093278884887695,4.093278884887695,4.387678146362305,3.625619411468506,0.7620587348937988,108.7250092052496,5899.0034,1.0293616,1.4362096,1.1473675,1.603865938447064,731.1582382711508,0.02832472153965871,0.4070424072225296,0.01093837207233783,0.1571906468060454,0.05746896525823462,1.15243262796043,0.7457998722046391,0.1488148718426171,0.681491323520846,4.3304,F,HD 114710,GJ 502,64394,PM*,GAIA,F9.5V,F9.5V,9.197515891787267,Brightest,237,-4.693170357565,Boro-Saikia2018(n=4),4,1,0.0,Boro-Saikia2018:logRpHK=-4.693,1.0
Gaia DR3 3796442680948579328,37,1719,3.796442680947601e+18,3.7964426809485793e+18,177.6771209175683,1.763518531662046,3.468564987182617,3.468564987182617,3.825246095657349,3.006280183792114,0.8189659118652344,90.89451645739487,6000.8833,1.268741,3.5524542,1.6837544,2.505171704279976,1285.62119037289,0.03562620357654857,0.7103637263411077,0.008830785522338663,0.1760802185023422,0.04595818593934693,1.457966676810399,1.049191794337178,0.185409971077005,0.2657888411605542,4.0924,F,HD 102870,GJ 449,57757,PM*,GAIA,F9V,F9V,11.00176379142444,Brightest,1719,-4.84643333002,Boro-Saikia2018(n=3),3,1,0.0,Boro-Saikia2018:logRpHK=-4.846,1.0
Gaia DR3 4430238051199001216,42,597,4.4302380511990016e+18,4.4302380511990016e+18,236.6098890459251,7.352758689332476,4.246856212615967,4.246856212615967,4.570348262786865,3.787848234176636,0.7825000286102295,83.921443569609,5888.4365234375,1.0560429,2.06265,1.3603567,1.923464839662253,948.0447993486778,0.03279443128992773,0.5227439386727205,0.01171917050421338,0.186803829381582,0.06143093467597092,1.347395615595826,0.8731019981734591,0.1719057304937122,0.4194914960754469,,,HD 141004,GJ 598,77257,PM*,GAIA,G0-V,G0V,11.91590560725455,Brightest,597,-4.889484363835,Boro-Saikia2018(n=4),4,1,0.0,Boro-Saikia2018:logRpHK=-4.889,1.0
Gaia DR3 4315804351350378496,48,470,4.3158043513503785e+18,4.3158043513503785e+18,291.2457765680834,11.9472711233531,4.971371650695801,4.971371650695801,5.349818229675293,4.445603370666504,0.9042148590087891,67.01526888035684,5465.647,0.9361322,1.6658847,1.4097991,1.780160432214876,896.5270268499016,0.03390149389687464,0.4894665248895318,0.01366081121532532,0.1972334851401239,0.0716560227073217,1.417843888268993,0.7990404597704105,0.1778259122533908,0.3340915542427599,4.1026,G,HD 182572,GJ 759,95447,PM*,GAIA,G7IVHdel1,G7IV,14.92197251025452,Bright,470,-5.09714415485,Boro-Saikia2018(n=6),6,1,0.0,Boro-Saikia2018:logRpHK=-5.097,1.0
Gaia DR3 3575733210781078016,49,115,3.575733210781078e+18,3.575733210781078e+18,180.1856293061816,-10.44827200397585,5.355077266693115,5.355077266693115,5.731156826019287,4.805628299713135,0.9255285263061523,78.33591471044681,5510.1235,0.8837685,0.859334,1.0129887,1.274556835651582,559.00129440771,0.028710958358257,0.3408023234265652,0.0165970713828225,0.1970091147346101,0.08729571974562657,1.074300387380654,0.6035419281247679,0.1510112065351934,0.8502070770360188,4.3911,G,HD 104304,GJ 454,58576,SB*,GAIA,G8IV,G8IV,12.76553677449611,Bright,115,-4.92727209105,Boro-Saikia2018(n=4),4,1,0.0,Boro-Saikia2018:logRpHK=-4.927,1.0
Gaia DR3 6863535898551993472,52,116,6.863535898551993e+18,6.863535898551993e+18,298.573333453915,-23.94289729665476,6.193460552186966,5.908112049102783,6.425188064575195,5.23886775970459,1.186320304870605,70.70095856863598,4769.5723,0.78,0.7291861,1.2505819,1.23604252427662,568.258682213336,0.03118012695081777,0.3424111371550934,0.01843952035942757,0.2024974800399424,0.09698179014823462,1.205171322654377,0.544335211347528,0.163990411344593,0.3988027886649244,4.3154,K,HD 188088,GJ 770,97944,BY*,,K3VaCN1,K3V,14.14407980097197,Bright,116,-4.52553258704,Boro-Saikia2018(n=2),2,1,0.0,Boro-Saikia2018:logRpHK=-4.526,1.0
Gaia DR3 3263836568394170880,55,1494,,3.263836568394171e+18,54.21723179468776,0.3995245948754849,4.141093254089355,4.141093254089355,4.433638572692871,3.675843477249146,0.7577950954437256,71.83697877936342,5905.6396,1.1426563,3.1089187,1.6292245,2.358674017254114,1237.620054224844,0.03703277867857373,0.6799610967752875,0.01130099431384891,0.2074982424352052,0.05889773285453719,1.526579806752963,1.023595129324798,0.1930048493873614,0.2642243398515706,4.1053,F,HD 22484,GJ 147,16852,PM*,GAIA,F9IV-V,F9IV-V,13.92040724696053,Brightest,1494,-4.932980548210001,Boro-Saikia2018(n=2),2,1,0.0,Boro-Saikia2018:logRpHK=-4.933,1.0
Gaia DR3 4722135642226902656,56,142,4.722135642226357e+18,4.722135642226902e+18,49.56622620807744,-62.5034842270098,5.07960844039917,5.07960844039917,5.379741668701172,4.594065189361572,0.7856764793395996,83.06064664354982,5765.0996,0.997309,0.99848723,1.0010624,1.349644480429982,573.3997087785676,0.0278129753994946,0.3608926253909031,0.01632418063804911,0.2118175536130501,0.08585392268891817,1.003233512333633,0.6293890251791517,0.1462770532035942,0.9941371187539264,4.3518,G,HD 20807,GJ 138,15371,**,GAIA,G1V,G1V,12.03939579583873,Bright,142,-4.76099381986,Boro-Saikia2018(n=3),3,1,0.0,Boro-Saikia2018:logRpHK=-4.761,1.0
Gaia DR3 5808612830236138368,59,255,5.808612830236138e+18,5.808612830236138e+18,247.1198786603902,-70.08390985846162,4.743967533111572,4.743967533111572,5.039831161499023,4.303140163421631,0.7366909980773926,82.86994368147813,5957.2573,1.0547222,1.3482832,1.0946614,1.547877264846378,684.824046125439,0.02899959200053919,0.4144147336688181,0.0150838247766216,0.215553350798678,0.07927615909891535,1.084409252580572,0.7201170509863949,0.1524133502798016,0.8040789159963871,4.2705,F,HD 147584,GJ 624,80686,SB*,GAIA,F9V,F9V,12.06710123809949,Bright,255,-4.515652482215,Boro-Saikia2018(n=2),2,1,0.0,Boro-Saikia2018:logRpHK=-4.516,1.0
Gaia DR3 5945941905576552064,60,576,5.945941905576552e+18,5.945941905576552e+18,266.0361549633902,-51.8349016618794,4.942751884460449,4.942751884460449,5.293322086334229,4.442713260650635,0.8506088256835938,64.08529417744371,5590.9136,0.9885635,1.8480042,1.3891233,1.858520359613351,930.6619575046815,0.03413585482952991,0.5174909098414151,0.01428100419977162,0.2164964051345732,0.07487720441555455,1.398200439941849,0.829287650245433,0.1789788269939226,0.3687925877173285,4.22,F,HD 160691,GJ 691.0,86796,PM*,GAIA,G3IV-V,G3IV-V,15.60420394156469,Bright,576,-5.0117573834849996,Boro-Saikia2018(n=2),2,1,0.0,Boro-Saikia2018:logRpHK=-5.012,1.0
Gaia DR3 6018047019138644480,61,165,6.018047019138645e+18,6.018047019138645e+18,246.0058026651914,-39.19296556977697,5.215096950531006,5.215096950531006,5.537261962890625,4.72960376739502,0.8076581954956055,77.56546482061312,5723.8506,0.9714177,1.0129427,1.0234394,1.363268213112579,589.810119232568,0.02883237651339219,0.3710907221892432,0.01708513110341768,0.2198963251232612,0.08984797285190835,1.04113297434261,0.6385812963005493,0.1516248582788491,0.9061907308281675,4.3984,G,HD 147513,GJ 9559,80337,PM*,GAIA,G5V,G5V,12.89233555568468,Bright,165,-4.544646364175,Boro-Saikia2018(n=2),2,1,0.0,Boro-Saikia2018:logRpHK=-4.545,1.0
Gaia DR3 3407611182744289152,62,973,3.4076111827442893e+18,3.4076111827442893e+18,76.86503115411448,18.64513194788599,4.732456684112549,4.732456684112549,5.076661109924316,4.232596397399902,0.8440647125244141,62.82520159680892,5655.869,1.0385855,2.3986373,1.5778134,2.107782299741383,1096.631622468331,0.03635036773400148,0.601518249759892,0.01336984006191756,0.221241304970123,0.06991218209400674,1.507489461359669,0.9228914990693117,0.1900795758538887,0.2644084526834496,3.9312,G,HD 32923,GJ 188.0,23835,**,GAIA,G1V,G1V,15.91717932586456,Bright,973,-4.96819658158,Boro-Saikia2018(n=2),2,1,0.0,Boro-Saikia2018:logRpHK=-4.968,1.0
Gaia DR3 2980492387558410112,66,154,2.98049238755841e+18,2.98049238755841e+18,71.90182063625531,-16.93370305225113,5.318377017974854,5.318377017974854,5.645484924316406,4.82747745513916,0.8180074691772461,75.52889944115644,5699.0146,0.9656809,0.96576774,1.0081174,1.333443199020918,572.253190866266,0.02889874208415409,0.3667659550233504,0.01773124235494691,0.2250345713015814,0.09325466522786466,1.024865184234917,0.6245433346999585,0.1519883640760412,0.94254112753729,4.3584,F,HD 30495,GJ 177,22263,BY*,GAIA,G2.5IV-V,G2.5IV-V,13.23996519741542,Bright,154,-4.49520538995,Boro-Saikia2018(n=5),5,1,0.0,Boro-Saikia2018:logRpHK=-4.495,1.0
Gaia DR3 3740176925743994752,68,1653,3.7401769257436503e+18,3.7401769257439944e+18,202.106456052995,13.7762285583208,4.778970718383789,4.778970718383789,5.144474506378174,4.23156213760376,0.9129123687744141,55.25105809943382,5470.15869140625,1.1014463,3.0261073,1.9086419,2.398506882620912,1292.62649117756,0.03860638106634275,0.7018062590708065,0.01263072062840736,0.2296076075703193,0.06571963750101746,1.62346447469721,0.9836345464048456,0.2008751078857574,0.1584126895994296,,G,HD 117176,GJ 9446,65721,PM*,GAIA,G4Va,G4V,18.09920089132641,Bright,1653,-5.04785235619,Boro-Saikia2018(n=3),3,1,0.0,Boro-Saikia2018:logRpHK=-5.048,1.0
Gaia DR3 2853900872207888768,69,139,2.8539008722071506e+18,2.853900872207889e+18,0.5466960564268589,27.07764869795461,5.59587574005127,5.59587574005127,5.911562919616699,4.982545375823975,0.9290175437927246,81.17903537377352,5470.15869140625,0.9626699,0.889294,1.1037116,1.30023391087454,551.8700164353093,0.02868158011438813,0.3588876466830519,0.01820115275062581,0.2277478734274472,0.09573619521835963,1.006953103253343,0.5877439029008493,0.1508621673925391,0.7159959600333237,,F,HD 224930,GJ 914,171,SB*,GAIA,G5VbFe-2,G5V,12.31845137597027,Bright,139,-4.84257574004,Boro-Saikia2018(n=1),1,1,0.0,Boro-Saikia2018:logRpHK=-4.843,1.0
Gaia DR3 2029433521248546304,70,234,2.0294335212485463e+18,2.0294335212485463e+18,300.9093570564763,29.89446794050967,5.552786827087402,5.552786827087402,5.922459125518799,5.014399528503418,0.9080595970153809,62.48650893182535,5435.3867,0.95,1.127656,1.1549977,1.467742742677663,666.2793795323425,0.03076340668736493,0.4062816388870126,0.01756314026522218,0.231950300026026,0.09231850701229347,1.152692341624567,0.6586738663279574,0.1617040992158589,0.6165669580640616,4.3218,G,HD 190360,GJ 9683,98767,PM*,,G7IV-V,G7V and G7V,16.00345445912221,Bright,234,-5.08524075644,Boro-Saikia2018(n=4),4,1,0.0,Boro-Saikia2018:logRpHK=-5.085,1.0
Gaia DR2 6508776375901968640,72,236,6.508776375901968e+18,,334.5682592612844,-53.62978547970057,5.210835456848145,5.210835456848145,5.558455944061279,4.759548187255859,0.7989077568054199,71.34293388599237,5780.66,0.9820968,1.1821582,1.0838945,1.466963109333895,654.7792430758449,0.03031795195863666,0.4069983045283794,0.01745911957625466,0.2343770474928024,0.09177873625991573,1.107028265107119,0.687158484052346,0.1593747785848788,0.7712465925797362,4.3,G,HD 211415,GJ 853.0,110109,PM*,GAIA,G0V,G0V,14.01680510641773,Bright,236,-4.81998144621,Boro-Saikia2018(n=2),2,1,0.0,Boro-Saikia2018:logRpHK=-4.820,1.0
Gaia DR3 4345775217221821312,74,204,4.3457752172218214e+18,4.3457752172218214e+18,243.90633606006,-8.371641161548801,5.327651023864746,5.327651023864746,5.654931545257568,4.837854385375977,0.8170771598815918,70.73714672122247,5678.4277,1.0083778,1.0749472,1.0235711,1.408815170820341,608.1527212277065,0.02916135660540071,0.3887338565691787,0.01765694544672854,0.2353749378541324,0.09284537153286876,1.037337694508547,0.6427960171258907,0.1533389224427008,0.9403060490214101,4.3571,F,HD 146233,GJ 616,79672,PM*,GAIA,G2Va,G2V,14.136843884035,Bright,204,-4.87811399987,Boro-Saikia2018(n=5),5,1,0.0,Boro-Saikia2018:logRpHK=-4.878,1.0
Gaia DR3 5588607120530408832,75,418,5.588607120530408e+18,5.588607120530408e+18,116.3943112271819,-34.16496180979816,5.194013595581055,5.194013595581055,5.501337051391602,4.70560359954834,0.7957334518432617,65.4543891564485,5714.2935,0.9313109,1.5282493,1.3244693,1.675614540066191,820.8373322393721,0.03402209278454732,0.4753367835495507,0.01688238050997137,0.2358707473137646,0.08862751853330703,1.335011677439845,0.7888401354928932,0.1786059529355716,0.4008381022789521,4.2364,F,HD 63077,GJ 288,37853,SB*,GAIA,F9V,F9V,15.27781425948089,Bright,418,-4.78725434989,Boro-Saikia2018(n=3),3,1,0.0,Boro-Saikia2018:logRpHK=-4.787,1.0
Gaia DR3 5902750168276592256,76,206,5.902750168276592e+18,5.902750168276592e+18,230.4397756821488,-48.31885569587278,5.482170104980469,5.482170104980469,5.811648845672607,4.974900245666504,0.8367486000061035,67.84669435693799,5620.91,0.94079065,1.0413179,1.0581557,1.392180965178254,618.5008542055614,0.03053528530901357,0.3908429833159373,0.01849807752632779,0.2367701409315243,0.09726235839645561,1.099915387680261,0.6495667435386698,0.1605536499258521,0.7940434459215121,4.3504,G,HD 136352,GJ 582,75181,PM*,GAIA,G2-V,G2V,14.73911160268253,Bright,206,-4.90252890599,Boro-Saikia2018(n=4),4,1,0.0,Boro-Saikia2018:logRpHK=-4.903,1.0
Gaia DR3 2835207319109249920,79,312,2.83520731910925e+18,2.83520731910925e+18,344.3675708158258,20.76910434538711,5.283212184906006,5.283212184906006,5.617465496063232,4.788872241973877,0.8285932540893555,64.40477219179482,5662.524,0.99690706,1.3366442,1.1356936,1.572714028127459,721.4239695958357,0.03127244459895943,0.4379454748651813,0.01719589025246578,0.2408146347022788,0.09035213534193888,1.171688395931794,0.7146448126176231,0.1643143859023702,0.6805673912377093,4.3077,G,HD 217014,GJ 882,113357,PM*,GAIA,G2IV,G2IV,15.52679973810078,Bright,312,-4.99964562738,Boro-Saikia2018(n=5),5,1,0.0,Boro-Saikia2018:logRpHK=-5.000,1.0
Gaia DR3 4423865487962417024,88,146,4.4238654879624166e+18,4.4238654879624166e+18,236.0073885996745,2.514558619403979,5.700447559356689,5.700447559356689,6.040486812591553,5.187979221343994,0.8525075912475586,67.60073784021641,5579.6113,0.9887707,0.84080666,0.9413953,1.254607462405295,516.1278191701477,0.02903708997636642,0.3617102478161073,0.02007530544591078,0.2500747738060046,0.1056122764309012,0.9438748832894213,0.5720317080581101,0.1527584813887663,1.185166893634851,4.3809,,HD 140538,GJ 9527,77052,PM*,GAIA,G2.5V,G2.5V,14.79273794856554,Bright,146,-4.7884289561,Boro-Saikia2018(n=3),3,1,0.0,Boro-Saikia2018:logRpHK=-4.788,1.0
Gaia DR3 6009538585839374336,92,136,6.009538585839374e+18,6.009538585839374e+18,236.8689134126426,-37.91726301678889,5.833835601806641,5.833835601806641,6.189642906188965,5.310612678527832,0.8790302276611328,65.58889545142002,5522.388,0.9927758,0.78463787,0.90317374,1.216854177819172,492.0117538705012,0.02903053740952012,0.3568666226301497,0.02080127669788294,0.2557059573803951,0.1094432915354929,0.9128174027720293,0.5494972796163312,0.1527405079643744,1.347526381911011,4.4199,G,HD 140901,GJ 599,77358,PM*,GAIA,G7IV,G7IV,15.24648331272287,Bright,136,-4.78316330617,Boro-Saikia2018(n=3),3,1,0.0,Boro-Saikia2018:logRpHK=-4.783,1.0
Gaia DR3 4418203587193988480,94,117,4.4182035871939886e+18,4.4182035871939886e+18,228.4564135927773,-1.35362637952841,6.388939380645752,6.388939380645752,6.769169330596924,5.831610679626465,0.937558650970459,57.92051412635043,5260.9116,0.84473073,0.6310316,0.92846966,1.111525490831612,465.6539126173676,0.03171429684869741,0.3437003247211207,0.02361490918740318,0.2559240709227205,0.1242606324013014,0.9856907420499836,0.5188564771969448,0.1668792605259685,1.055395269843841,4.4104,G,HD 135204,GJ 580,74537,**,GAIA,G9V,G9V,17.265040117195,Bright,117,,,0,0,,,
Gaia DR3 4934923028038871296,96,594,4.93492302803838e+18,4.934923028038871e+18,18.80055894824174,-45.53087326120101,4.827919483184814,4.827919483184814,5.107782363891602,4.379914283752441,0.7278680801391602,65.52703093363316,5980.5386,1.1452411,1.9548161,1.2225207,1.860880880314579,866.3086696679782,0.03198707582517883,0.5222618283294959,0.01584038955738059,0.2586304186385499,0.08311768856772309,1.200189432409695,0.828132466475922,0.1678425771663287,0.6267989512448702,4.1673,F,HD 7570,GJ 55,5862,PM*,GAIA,F9VFe+0.4,F9V,15.26087762182932,Bright,594,-4.81870326632,Boro-Saikia2018(n=2),2,1,0.0,Boro-Saikia2018:logRpHK=-4.819,1.0
Gaia DR3 5559265690666326016,99,442,5.559265690666326e+18,5.559265690666326e+18,105.9881686327828,-43.6063023714299,5.391417026519775,5.391417026519775,5.711597919464111,4.905869007110596,0.8057289123535156,58.61923555068,5690.858,0.95946085,1.5210735,1.2687162,1.674401871036549,807.8285253071689,0.03408344878191079,0.4831622643222051,0.01830632731316581,0.2595079685934516,0.09611501233207217,1.29545665480434,0.7748030583635716,0.1789507553291081,0.4698224901988813,4.2726,F,HD 53705,GJ 9223,34065,PM*,GAIA,G1.5V,G1.5V,17.05924668934717,Bright,442,-4.874648446925,Boro-Saikia2018(n=2),2,1,0.0,Boro-Saikia2018:logRpHK=-4.875,1.0
