Gaia_name,name,rv_noise,st_teff,st_lum,st_mass
3052753116376444800,GJ1094,0.16,4616,0.20676,0.75
5630532113072532736,GJ1126,0.15,4805,0.23061,0.71
6471497502884511232,GJ798,0.2,4178,0.11123,0.57
6669657123437047424,GJ787,0.19,4467,0.16123,0.7
5994771148252505216,GJ604,0.14,4580,0.17527,0.72
5378886891122066560,GJ435,0.12,4658,0.16525,0.74
4364527594192166400,GJ653,0.12,4395,0.13938,0.68
4270446404294208000,GJ715,0.14,4340,0.2636,0.76
4737533237421005952,HD21209A,0.17,4690,0.17975,0.74
5285775539195330560,GJ268.2,0.23,4176,0.14462,0.69
4833654227548585856,GJ146,0.18,4136,0.1336,0.64
5951165616611763456,GJ666,0.06,5607,0.45164,0.93
4706630501049679744,GJ3,0.17,4606,0.14284,0.73
1736838805468812160,GJ818,0.16,4276,0.16651,0.7
4258375617747092864,GJ726,0.2,4140,0.13388,0.61
5107106033552702208,HD23356,0.09,4997,0.30567,0.82
6288325222245417856,GJ529,0.15,4386,0.16782,0.69
6614285855300051840,GJ862,0.11,4671,0.26291,0.76
4673947174316727040,GJ143,0.14,4828,0.20579,0.73
5412947081287925504,HD85512,0.12,4421,0.1668,0.69
6029992663310612096,HD154088,0.08,5339,0.73024,0.94
6335064087152916224,GJ583,0.27,4269,0.11732,0.64
6832674634380238848,GJ826.1,0.22,4026,0.12051,0.63
4111366313257506560,GJ4008,0.29,4207,0.09124,0.65
5073448642595674752,GJ131,0.23,4330,0.12716,0.67
6232511606838403968,GJ570A,0.050,4562,0.22252,0.75
6412595290592307840,GJ845,0.03,4585,0.22183,0.73
3211461469444773376,GJ183,0.06,4702,0.29023,0.81
5866992641380992256,GJ542,0.07,4858,0.34171,0.8
3210731015767419520,GJ204,0.11,4544,0.19591,0.73
4805806449875760384,HD274255,0.3,4036,0.10313,0.63
3865002247461685248,GJ3633,0.1,5020,0.35045,0.85
3812355294261019904,HD99492,0.11,4801,0.33505,0.85
6260386975385254656,HD139763,0.21,4126,0.12566,0.65
6721432232656218752,GJ707,0.16,4191,0.13977,0.66
6604147121141267712,GJ879,0.070,4608,0.19635,0.73
2395031273585836288,HD221503,0.18,4205,0.13649,0.66
2552288133874677760,GJ3071,0.14,4753,0.148,0.73
3256334497479041024,HD24916,0.13,4641,0.19758,0.69
5739942011185493888,GJ355,0.13,4909,0.27395,0.84
6866310172545095424,HIP99385,0.21,4314,0.14253,0.62
3498481592531208576,HD111261B,0.25,4206,0.0826,0.63
6863535898551993472,GJ770,0.06,4782,0.79882,0.73
3372159045216183552,GJ233,0.21,4786,0.46338,0.82
6508401923473282432,HIP110443,0.22,4127,0.08876,0.64